"Source","Deviance","PropDev"
"Origin","4.08000000000004","0.171847359110439"
"Canopy","0.0279999999999632","0.00117934462134459"
"Stand","10.836","0.456406368460955"
"Understory","2.00600000000003","0.0844916182292996"
"Origin:Stand","1.46999999999997","0.061915592620671"
"Canopy:Stand","0.926000000000045","0.0390026114059492"
"Stand:Understory","0.23599999999999","0.00994019037991702"
"Origin:Canopy","0.00399999999996226","0.000168477803047859"
"Origin:Understory","0.274000000000001","0.0115407295088872"
"Canopy:Understory","2.58000000000004","0.108668182966896"
"Canopy:Stand:Understory","1.30199999999996","0.0548395248925937"
