"Source","Deviance","PropDev"
"Origin","2.46000000000004","0.295389048991356"
"Canopy","0.700000000000045","0.0840537944284387"
"Stand","0.610000000000014","0.0732468780019221"
"Understory","0","0"
"Origin:Stand","1.19399999999996","0.143371757925066"
"Canopy:Stand","0.26400000000001","0.0317002881844389"
"Stand:Understory","1.78399999999999","0.21421709894332"
"Origin:Canopy","0.720000000000027","0.0864553314121061"
"Origin:Understory","0.00199999999995271","0.000240153698361274"
"Canopy:Understory","0.0180000000000291","0.00216138328530606"
"Canopy:Stand:Understory","0.576000000000022","0.0691642651296849"
